               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.038188,            0.037153,                   0,             0.62065,             0.95185,             0.79717,             0.46818,            0.044997,            0.022612,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.038679,            0.037372,                   0,             0.61503,             0.95651,             0.78654,             0.50022,            0.040005,            0.023727,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.038004,            0.030929,                   0,              0.6881,             0.93258,             0.88872,             0.62566,            0.038528,            0.021141,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.034821,            0.030752,                   0,              0.6923,             0.93419,             0.87263,             0.53905,            0.036653,            0.020506,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.036352,            0.030505,                   0,             0.91534,             0.97191,             0.97721,             0.68712,            0.032575,             0.01935,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.034851,            0.033471,                   0,             0.79474,             0.97271,              0.8899,             0.60671,            0.034932,            0.019944,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.033758,            0.030392,                   0,             0.92969,             0.96148,             0.98204,             0.71775,            0.032353,            0.021179,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.033915,            0.034976,                   0,             0.91606,             0.95506,             0.98405,             0.69357,             0.03179,             0.01949,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.030561,            0.029842,                   0,             0.72075,               0.957,             0.91424,             0.60371,            0.033784,            0.019373,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.032993,            0.029971,                   0,             0.83838,             0.95987,             0.97288,             0.70543,            0.033784,            0.019217,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.03298,            0.030671,                   0,             0.92369,             0.97271,             0.98613,             0.72026,            0.033063,            0.019787,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.033152,            0.031627,                   0,             0.96479,             0.97592,             0.99033,             0.71284,            0.032487,            0.018558,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.030954,            0.025536,                   0,             0.81457,             0.97753,             0.94076,             0.65598,            0.031798,            0.018314,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.032843,            0.033072,                   0,              0.9743,             0.98074,             0.99114,             0.73411,             0.02788,            0.017604,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.029966,            0.032303,                   0,             0.97049,             0.98716,             0.99126,             0.74776,            0.028899,            0.017482,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.03155,            0.031852,                   0,             0.96219,             0.98032,             0.98986,             0.77082,            0.029242,            0.017869,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.031097,             0.03046,                   0,             0.97441,             0.98395,             0.99204,             0.73285,            0.029188,            0.017319,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.029581,            0.028022,                   0,             0.94166,             0.98454,             0.97772,              0.7495,            0.028949,            0.017981,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.031936,            0.032128,                   0,             0.98721,             0.99146,             0.99296,             0.75408,            0.028245,            0.017725,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.029797,            0.026185,                   0,             0.93556,             0.97871,             0.98818,             0.73679,            0.028102,            0.017025,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.030931,            0.029992,                   0,             0.98393,             0.98271,             0.99411,             0.76677,            0.026657,            0.016484,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.030151,            0.027741,                   0,              0.9802,             0.99358,             0.99362,             0.78245,            0.026129,            0.016792,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.030557,            0.031506,                   0,             0.97351,             0.98234,             0.99321,             0.77367,            0.025786,            0.016286,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.029933,            0.027503,                   0,             0.97634,             0.99037,             0.99417,             0.78589,            0.025731,            0.016493,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.028869,             0.02899,                   0,             0.99035,             0.98849,             0.99451,             0.77988,            0.025742,            0.016697,                   0,            0.007987,            0.007987,            0.007987
